Strain,OD 600,Dilution,Date,H2O2 Treatment(%),White,Black,HalfBlack,quarterblack,3/4black,quar-quarblack,other,Notes
M32*,0.9,100,12/16/2011,0,338,2,0,0,0,0,5,
M32*,0.9,100,12/16/2011,0,299,2,0,0,0,0,4,
M32*,0.9,100,12/16/2011,0,290,1,1,1,0,0,4,
M32*,0.9,100,12/16/2011,0.005,290,1,0,0,0,0,7,
M32*,0.9,100,12/16/2011,0.005,310,3,1,0,0,0,8,
M32*,0.9,100,12/16/2011,0.005,327,0,0,0,1,0,6,
M32*,0.9,100,12/16/2011,0.01,219,0,0,0,0,0,10,
M32*,0.9,100,12/16/2011,0.01,249,0,2,0,0,0,12,
M32*,0.9,100,12/16/2011,0.01,208,2,0,0,0,0,10,
M32*,0.9,100,12/16/2011,0.025,260,1,3,2,0,0,10,
M32*,0.9,100,12/16/2011,0.025,266,1,3,1,0,0,8,
M32*,0.9,100,12/16/2011,0.025,263,1,2,1,0,0,11,
M32*,0.9,100,12/16/2011,0.05,226,1,0,0,1,0,13,
M32*,0.9,100,12/16/2011,0.05,235,0,0,0,0,0,15,
M32*,0.9,100,12/16/2011,0.05,232,1,0,1,0,0,14,
M32*,0.9,100,12/16/2011,0.075,250,7,3,1,0,0,7,center smear
M32*,0.9,100,12/16/2011,0.075,278,3,0,0,0,0,11,center smear
M32*,0.9,100,12/16/2011,0.075,286,3,3,1,0,0,12,center smear
M32*,0.9,100,12/16/2011,0.1,208,4,1,4,0,0,20,
M32*,0.9,100,12/16/2011,0.1,215,1,1,1,1,0,20,
M32*,0.9,100,12/16/2011,0.1,221,2,2,1,1,0,13,
M32*,0.9,100,12/16/2011,0.15,235,1,3,3,0,0,17,center smear
M32*,0.9,100,12/16/2011,0.15,200,1,8,2,0,0,16,
M32*,0.9,100,12/16/2011,0.15,202,0,4,2,0,0,22,
M32*,0.9,100,12/16/2011,0.2,210,7,3,4,0,0,10,
M32*,0.9,100,12/16/2011,0.2,206,4,6,3,0,0,15,
M32*,0.9,100,12/16/2011,0.2,211,4,3,4,2,0,13,
M32*,0.9,100,12/16/2011,0.3,198,3,7,0,0,0,20,
M32*,0.9,100,12/16/2011,0.3,194,4,6,3,0,0,15,
M32*,0.9,100,12/16/2011,0.3,200,5,5,6,3,0,12,
