strain	ARLS	R0	G	CLS	strain	Nloh	Tc	Tc.sd	Tg	Tg.sd	Tmmax	Tmmax.sd	Tbmax	Tbmax.sd	Td	Td.sd	Tdmax	Tdmax.sd	b.max	b.max.sd	b.min	b.min.sd	strains	L0.all	L0.small	Pbt0	Pb0.5t0	Pbt0.b	Pbt0.sd	Pb0.5t0.b	Pb0.5t0.sd	L0.sd
101S	31.3276125	0.0012098	0.1421899	3.3935315	101S	3	4.57928522331545	0.410432469413152	5.69020676132178	0.914602751454116	5.48333333333333	0.416333199893227	5.63333333333333	0.929157324317757	4.781928437462	0.397857536265557	5.63333333333333	0.929157324317757	0.0607894076518321	0.0435241215886816	0.00163312713367008	0.000320996221771516	101S	0.159574468085106	0.0952380952380952	0.00280093364454818	0.000266755585195065	0.0027775479153435	0.00107205448296425	0.000330837423661628	0.000555158600132709	0.201528972837824
M1-2	27.8696845	0.0024437	0.128362	10.370586	M1-2	3	6.27640173125879	0.384281595878042	6.93055555555555	0.876321753019297	7.31666666666667	0.453688586293874	6.83333333333333	0.927811043981118	6.93055555555555	0.876321753019297	6.83333333333333	0.927811043981118	0.0442713583103164	0.0322451694059442	0.0014519735761014	0.0000374050814692525	M1-2	0.0616438356164384	0.0357142857142857	0.00183932207843395	0.0000656900742297839	0.00189366170127944	0.00151186564721052	0.0000879507475813544	0.000278124684271625	0.154033669012556
M13	26.6502041	0.0029551	0.1252717	16.27332	M13	3	8.0071553838233	0.292065435115147	11.0558429486241	1.02541750116984	9.43333333333333	0.354729944229879	11.0833333333333	1.02996763703203	9.24305555555554	1.53041124042355	11.0833333333333	1.02996763703203	0.179608242012398	0.0575895009712163	0.0014740368594754	0.000579646778320149	M13	0.0934579439252336	0.125	0.00197696831908269	0.000247121039885336	0.00214844819302248	0.00172519374719106	0.000227876726362929	0.000321664992193142	0.195887516893159
M14	36.5844444	0.0018812	0.0949553	7.212224	M14	3	3.9619822576233	1.15622163364181	7.04334808006306	0.502239627972113	4.9	1.00374299499424	7.01666666666667	0.464578662158879	5.83872096163945	1.84670424612818	7.01666666666667	0.464578662158879	0.169673693368515	0.0456933522417941	0.00462291094389003	0.00183250782319512	M14	0.112244897959184	0.109756097560976	0.00699718406007338	0.000767983616349518	0.00660394331167362	0.0032728036830954	0.000571076480716002	0.000665652109632329	0.108099090369532
M2-8	24.7707937	0.0041838	0.1193465	4.124016	M2-8 	4	4.12377653568811	0.65543386340908	4.50392936502219	0.429264819970147	5.1	0.811377429642539	4.4875	0.455292945988258	5.86907799701464	1.74591957291936	4.4875	0.455292945988258	0.0333511911139684	0.0192056411649214	0.0028167536553827	0.00166282671074722	M2-8	0.14859437751004	0.163636363636364	0.00366568914956012	0.000599840042655292	0.0039069287754769	0.00248765627529925	0.00045690840958344	0.000646897657258421	0.208506199307858
M32	28.1375	0.0017568	0.1417765	6.422428	M32	3	7.96506025998485	0.721849221689173	7.41553657061987	1.78867310567343	9.73333333333333	1.62583311976763	7.35	1.7514279888137	8.20833333333333	0.649519052838329	7.35	1.7514279888137	0.0441037657701756	0.0340258254278886	0.0104383057718573	0.00121067750287438	M32	0.109625668449198	0.134408602150538	0.0123546994354035	0.00166057788110262	0.012523863599855	0.00208866216533097	0.00177436651895774	0.00105992361156368	0.0887493457378959
M34	26.8427467	0.0012919	0.1629953	5.167521	M34	4	6.73249013921462	1.49677273335583	8.21468096140173	1.31707173393098	8.325	1.96532440070336	8.3	1.34598167397133	8.3830576436922	0.562369830961822	8.3	1.34598167397133	0.236243984857111	0.126714267697076	0.00364885512989172	0.00271180060718798	M34	0.171348314606742	0.161764705882353	0.00727065364601896	0.00117613514862071	0.00688487279186165	0.00540776692488035	0.0009318709419341	0.00108128840804586	0.191294991188706
M5	36.7428872	0.004031	0.0681621	4.93462466666667	M5	3	5.91730618915514	0.441904446643098	7.81627884987076	1.49778715603854	7.05	0.264575131106459	7.83333333333333	1.6750621879003	6.54615279928197	0.636496065951337	7.83333333333333	1.6750621879003	0.248537143695208	0.140161214123406	0.00123113101096885	0.000554551607912653	M5	0.171875	0.179487179487179	0.00200534759358289	0.000359934183463595	0.00206423585916263	0.000698519024787067	0.000559933780899503	0.000710431818465622	0.359743093651661
M8	35.0913889	0.0003775	0.1619232	10.49283	M8	3	6.78521896075966	2.43717292557462	11.4664399450394	4.40624051419121	8.21666666666667	2.98384539367128	11.5166666666667	4.44756487679869	10.6459733627763	4.44298243747866	11.5166666666667	4.44756487679869	0.191577718056592	0.106303080900242	0.00385096205224965	0.000270891292715319	M8	0.0581039755351682	0.074712643678161	0.00637152587059211	0.000476033542055733	0.00633754294741166	0.00228103708666162	0.000584939202553303	0.000718870041688958	0.115952585418376
YPS128	34.9985297	0.0011183	0.1209893	3.309616	YPS128	2	6.8019544426339	0.080861037739186	10.3687141562161	2.32072025369724	8.875	0.176776695296637	10.375	2.36880771697494	8.18874752462782	1.68114287156611	10.375	2.36880771697494	0.277800829875519	0.172815723700779	0.0121263360892129	0.0146686360804134	YPS128	0.183531746031746	0.0916666666666667	0.0108671043694815	0.000996151233869142	0.0110636657708879	0.0103420279262687	0.00101531937511938	0.00100777518371732	0.127320101979024
YPS163	34.3930769	0.0008251	0.13509	4.1845025	YPS163	3	5.24630860568928	0.790267406030595	8.30958207600032	2.73387373619892	6.85	1.16940155635265	8.28333333333333	2.69459335212817	7.1377869789953	3.2573113231151	8.28333333333333	2.69459335212817	0.170249478830269	0.040201949431858	0.00771116127102273	0.00552733352033011	YPS163	0.252688172043011	0.0903225806451613	0.00712283442856486	0.000643352787096181	0.00824008601606724	0.00542715062107386	0.000684650010062944	0.000556254658737314	0.104091155684948
BY4743	33.2	0.004	0.08	9.7	BY4743	1	15.0689397508392	NA	13.5828958264739	NA	17.1	NA	12	NA	13.125	NA	12	NA	0.0403286034353996	NA	0.00469128329297821	NA	BY4743	0.189189189189189	0.189189189189189	0.0058433354390398	0.00110549589387239	0.00589401930647759	0.00197759354961988	0.00110920683584403	0.000542042011223118	0.112714252831993
rad52DD	NA	NA	NA	NA	SGU57	1	3.6366681572143	NA	6.83272846360856	NA	4.65	NA	0.15	NA	NA	NA	NA	NA	0.371794871794872	NA	0.0575539568345324	NA	rad52DD									
