strain	Nloh	Tc	Tc.sd	Tg	Tg.sd	Tmmax	Tmmax.sd	Tbmax	Tbmax.sd	Td	Td.sd	Tdmax	Tdmax.sd	b.max	b.max.sd	b.min	b.min.sd	TLmax	TLmax.sd	Lmax	Lmax.sd
101S	3	4.58	0.410731055558257	5.68666666666667	0.914840605424427	5.48333333333333	0.416333199893227	5.63333333333333	0.929157324317757	4.78666666666667	0.398288002999505	5.63333333333333	0.929157324317757	0.0433333333333333	0.0208166599946613	0	0	6.65333333333333	1.06307729414814	2.49	0.468081189538738
BY4743	1	15.07	NA	13.58	NA	17.1	NA	12	NA	13.13	NA	12	NA	0.04	NA	0	NA	11.25	NA	1.36	NA
M1-2	3	6.27333333333333	0.385529938310027	6.93	0.876070773396762	7.31666666666667	0.453688586293874	6.83333333333333	0.927811043981118	6.93	0.876070773396762	6.83333333333333	0.927811043981118	0.04	0.0264575131106459	0	0	7.65333333333333	1.47313724185268	0.706666666666667	0.310053758779560
M13	3	8.01	0.294618397253124	11.0533333333333	1.02588173457438	9.43333333333333	0.354729944229879	11.0833333333333	1.02996763703203	9.24666666666667	1.53027230692231	11.0833333333333	1.02996763703203	0.136666666666667	0.0152752523165195	0	0	9.66666666666667	2.71538824725551	0.653333333333333	0.445234020862437
M14	3	3.96	1.1536463929645	7.04333333333333	0.502029215617312	4.9	1.00374299499424	7.01666666666667	0.464578662158879	5.84	1.84521001514733	7.01666666666667	0.464578662158879	0.163333333333333	0.0493288286231625	0.00333333333333333	0.00577350269189626	9.5	3.04138126514911	1.2	0.888819441731559
M2-8 	4	4.1225	0.653012251033623	4.5075	0.42921439864012	5.1	0.811377429642539	4.4875	0.455292945988258	5.87	1.74306243911877	4.4875	0.455292945988258	0.03425	0.0189450961113072	0	0	7.02	1.40861634237290	3.345	2.84785884481658
M32	3	7.96333333333333	0.725419418911111	7.41333333333333	1.79171240251703	9.73333333333333	1.62583311976763	7.35	1.7514279888137	8.20666666666667	0.652405804184278	7.35	1.7514279888137	0.03	0.01	0.01	0	7.62666666666667	1.51595954211626	0.596666666666667	0.0802080627701064
M34	4	6.7325	1.49644857356788	8.2125	1.31677320244098	8.325	1.96532440070336	8.3	1.34598167397133	8.3825	0.565412828530329	8.3	1.34598167397133	0.2225	0.120104121494643	0.0025	0.005	7.5525	1.91219550952999	0.7925	0.359942124977521
M5	3	5.92	0.441927595879687	7.81666666666667	1.49533719720113	7.05	0.264575131106459	7.83333333333333	1.67506218790030	6.54666666666667	0.638931399551887	7.83333333333333	1.67506218790030	0.243333333333333	0.153079500042734	0	0	6.90666666666667	0.88030297814635	1.84	1.26301227230776
M8	3	6.78333333333333	2.43715681344745	11.4666666666667	4.40856363607619	8.21666666666667	2.98384539367128	11.5166666666667	4.44756487679869	6.02666666666667	2.00053326224118	11.5166666666667	4.44756487679869	0.166666666666667	0.146401275039985	0	0	6.87333333333333	1.89866619850181	1.24	0.965763946314005
RAD52DD	4	2.6475	0.574710071833326	4.99	2.46226183281416	2.625	0.494132236012453	5.0375	2.48675658908011	NA	NA	NA	NA	0.28	0.0547722557505166	0.125	0.0341565025531987	NA	NA	NA	NA
SGU57	1	3.64	NA	6.83	NA	4.65	NA	0.15	NA	NA	NA	NA	NA	0.37	NA	0.06	NA	NA	NA	NA	NA
YPS128	3	8.63	3.17022081249871	12.8733333333333	4.63569124654925	10.75	3.25	12.45	3.96516077858137	11.42	5.71968530602864	12.45	3.96516077858137	0.206666666666667	0.174737898961082	0.0133333333333333	0.0115470053837925	11.7666666666667	6.19142417649876	1.73333333333333	1.33810811720628
YPS163	3	5.24666666666667	0.794627795469887	8.31	2.73296542239378	6.85	1.16940155635265	8.28333333333333	2.69459335212817	7.14	3.25884949023425	8.28333333333333	2.69459335212817	0.163333333333333	0.055075705472861	0.00666666666666667	0.00577350269189626	5.24666666666667	2.28546129552293	1.32666666666667	0.983480215018753
